"artist","title","label","imUrl","root-genre","first-release-year"
"Sack Lunch","Strangers","Red Eye","http://ecx.images-amazon.com/images/I/51tnZ4ukr%2BL._SX300_.jpg","Alternative Rock","1965"
"Quincy Punx","We're Not Punks","Recess","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1995"
"Boris The Sprinkler","Saucer to Saturn","Bulge","http://ecx.images-amazon.com/images/I/612IbJDFvtL._SX300_.jpg","Alternative Rock","1995"
"The Hives","Oh Lord! When? How?","Sidekicks (Swe)","http://ecx.images-amazon.com/images/I/510i-XTahIL._SL500_SX300_.jpg","Alternative Rock","1996"
"Ned's Atomic Dustbin","Bite","Chapter 22","http://ecx.images-amazon.com/images/I/61c5pOTvWzL._SY300_.jpg","Alternative Rock","1991"
"Various Artists - Soundtracks - Film Scores","Secret Agent Sounds","Pgd/Dr. Dream","http://ecx.images-amazon.com/images/I/31A84S56T6L.jpg","Alternative Rock","1995"
"Beatnik Filmstars","Phase 3","No Life","http://ecx.images-amazon.com/images/I/61eKCLJ%2Bq9L._SX300_.jpg","Alternative Rock","1997"
"The Comsat Angels","Glamour","Rpm","http://ecx.images-amazon.com/images/I/61Bn10KKW2L._SL500_SX300_.jpg","Alternative Rock","1995"
"Contingence","Dominion","Deprogrammed Productions","http://ecx.images-amazon.com/images/I/51xHov6mR5L._SX300_.jpg","Alternative Rock","1998"
"Step Ahead","Step Ahead","Lethal Records -- Rotz --","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1983"
"Fountains Of Wayne","I Want An Alien For Christmas","ATLANTIC/Q RECORDS","http://ecx.images-amazon.com/images/I/51%2Bvo6MXUmL._SX300_.jpg","Alternative Rock","1997"
"Throbbing Gristle","Giftgas","Dossier (Ger)","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1994"
"Legendary Pink Dots","Stained Glass Soma Fountains","Soleilmoon","http://ecx.images-amazon.com/images/I/41xr3VGH9EL._SL500_SX300_.jpg","Alternative Rock","1997"
"Legendary Pink Dots","Brighter Now","Soleilmoon","http://ecx.images-amazon.com/images/I/518O8tfJ6eL._SX300_.jpg","Alternative Rock","1982"
"Legendary Pink Dots","Tower","Soleilmoon","http://ecx.images-amazon.com/images/I/51PQiCw6FzL._SX300_.jpg","Alternative Rock","1984"
"Legendary Pink Dots","Curse","Soleilmoon","http://ecx.images-amazon.com/images/I/51M5agh0S7L._SX300_.jpg","Alternative Rock","1983"
"Illusion Of Safety","Of & the","Soleilmoon","http://ecx.images-amazon.com/images/I/51xW-SEZa3L._SL500_SY300_.jpg","Alternative Rock","1997"
"Tit Wrench","Ok You Homos Out of the Car","Vinyl Communications","http://ecx.images-amazon.com/images/I/51CgrbW7hCL._SX300_.jpg","Alternative Rock","1995"
"Eleventh Dream Day","Prarie School Freakout","Amoeba","http://ecx.images-amazon.com/images/I/41ARSrvPU3L.jpg","Alternative Rock","1988"
"Severed Heads","Bulkhead","Loud","http://ecx.images-amazon.com/images/I/51ATOk4mfBL._SL500_SX300_.jpg","Alternative Rock","1988"
"Antischism","Still Life","Allied","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1992"
"Lazy Cowgirls","Radio Cowgirl","Sympathy for the Record Indust","http://ecx.images-amazon.com/images/I/315k3rMzZZL._SL500_.jpg","Alternative Rock","1992"
"Soft Cell","Say Hello to Soft Cell","Musicrama/Koch","http://ecx.images-amazon.com/images/I/31TRa-lgEaL.jpg","Alternative Rock","1999"
"Golden Palominos","Drunk With Passion","Musicrama/Koch","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1991"
"Lou Reed","Rock and Roll Heart","Musicrama/Koch","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1976"
"Simon Raymonde","Blame Someone Else","Bella Union -- Dei --","http://ecx.images-amazon.com/images/I/5178BEWTASL._SX300_.jpg","Alternative Rock","1997"
"Legendary Pink Dots","It's Raining in Heaven","Soleilmoon","http://ecx.images-amazon.com/images/I/41LzjFgkVgL._SL500_SX300_.jpg","Alternative Rock","1996"
"Sister Machine Gun","Wired/Lung","Tvt/Wax Trax","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1994"
"Thin White Rope","One That Got Away","Frontier","http://ecx.images-amazon.com/images/I/31Y80N8NRQL._SX300_.jpg","Alternative Rock","1993"
"Ghoti Hook","Sumo Surprise","Tooth & Nail Records","http://ecx.images-amazon.com/images/I/51hm4DoTQuL._SY300_.jpg","Alternative Rock","1996"
"Roadside Monument","Beside This Brief Hexagonal","Tooth & Nail Records","http://ecx.images-amazon.com/images/I/41d%2BLDXUoyL._SY300_.jpg","Alternative Rock","1997"
"Miracle Legion","Me & Mr. Ray","Morgan Creek Records","http://ecx.images-amazon.com/images/I/51SaK77H7SL._SL500_.jpg","Alternative Rock","1989"
"Cibo Matto","Cibo Matto","El Diablo Records","http://ecx.images-amazon.com/images/I/4168T17301L.jpg","Alternative Rock","1995"
"No Innocent Victim","No Compromise","Rescue Records","http://ecx.images-amazon.com/images/I/61ij3b83BmL._SY300_.jpg","Alternative Rock","1997"
"Refused","This Is the New Deal","Burning Heart (Swe)","http://ecx.images-amazon.com/images/I/51cgw4KqknL.jpg","Alternative Rock","1993"
"Gals Panic","I Think We Need Helicopters","Goopy Pyramid Records","http://ecx.images-amazon.com/images/I/418GoS9CDrL._SL500_.jpg","Alternative Rock","1995"
"Collective Soul","Gel","Warner -- Bayside --","http://ecx.images-amazon.com/images/I/414iwzq2vZL._SL500_SX300_.jpg","Alternative Rock","2000"
"Randolph's Grin","Melt","Cargo Records Chicago","http://ecx.images-amazon.com/images/I/51MMofJnYpL._SY300_.jpg","Alternative Rock","1997"
"Lush","Topolino","Pid","http://ecx.images-amazon.com/images/I/41F536H06CL._SX300_.jpg","Alternative Rock","1996"
"David Bowie","Seven Years in Tibet","Pid","http://ecx.images-amazon.com/images/I/419G9AKEB8L._SX300_.jpg","Alternative Rock","1997"
"KMFDM","Megalomaniac","Pid","http://ecx.images-amazon.com/images/I/51YZ8zln2CL._SL500_SX300_.jpg","Alternative Rock","1997"
"Sober","Blowjob","Burning Heart (Swe)","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1991"
"Chumbawamba","Amnesia","Pid","http://ecx.images-amazon.com/images/I/41N08PA1PJL._SX300_.jpg","Alternative Rock","1997"
"Kula Shaker","Tattva","Pid","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1995"
"Radiohead","No Surprises","Pid","http://ecx.images-amazon.com/images/I/41YB1NPZX8L._SX300_.jpg","Alternative Rock","1997"
"Beck","Deadweight","Geffen","http://ecx.images-amazon.com/images/I/2117X9Z36NL.jpg","Alternative Rock","1997"
"Days Of The New","Touch Peel & Stand","Pid","http://ecx.images-amazon.com/images/I/51TorqPZvXL._SL500_SX300_.jpg","Alternative Rock","1998"
"David Bowie","I Can't Read","Pid","http://ecx.images-amazon.com/images/I/411XA8V6NGL._SX300_.jpg","Alternative Rock","1998"
"Stereolab","Transient Random Noise","Pid","http://ecx.images-amazon.com/images/I/41FSJB29YKL.jpg","Alternative Rock","1993"
"Silage","Watusi","Sub-Lime","http://ecx.images-amazon.com/images/I/51te9HsC1rL._SY300_.jpg","Alternative Rock","1997"
"Jazz Butcher Conspiracy","Draining the Glass 1982-86","Msi","http://ecx.images-amazon.com/images/I/41CR938ZDHL.jpg","Alternative Rock","1996"
"Everclear","So Much for the Afterglow","Msi/Emd","http://ecx.images-amazon.com/images/I/41TaXgni1uL._SX300_.jpg","Alternative Rock","1997"
"Sundays","Summertime","MSI/EMI/Parlophone","http://ecx.images-amazon.com/images/I/510nW9O95sL._SX300_.jpg","Alternative Rock","1997"
"Blink 182","Apple Shampoo","Msi Duplicate Numbers","http://ecx.images-amazon.com/images/I/21C6MNBCTEL.jpg","Alternative Rock","1997"
"Merzbow","Music for Bondage Performance2","Extreme -- D.E.I. --","http://ecx.images-amazon.com/images/I/31v8gDiFxDL._SL500_.jpg","Alternative Rock","1991"
"Collateral Damage","Let Me Be Broken","New Age Records","http://ecx.images-amazon.com/images/I/51eJsWvrUAL._SX300_.jpg","Alternative Rock","1996"
"London After Midnight","Kiss","Apocalyptic Vision (Ger)","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1995"
"Bar Feeders","Scotto El Blotto","Dill Records","http://ecx.images-amazon.com/images/I/41UGSRnteSL.jpg","Alternative Rock","1997"
"Randumbs","It's About Time!","Gmm","http://ecx.images-amazon.com/images/I/317kIhWgotL._SL500_.jpg","Alternative Rock","1998"
"Pearl Jam","Unyielding Set","Pid","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","2012"
"Major Accident","Ultimate High","Gmm","http://ecx.images-amazon.com/images/I/41qk8j1iSoL._SX300_.jpg","Alternative Rock","1996"
"The Church","Under the Milky Way","Pid","http://ecx.images-amazon.com/images/I/3143V3EZX8L.jpg","Alternative Rock","1988"
"James Iha","Be Strong Now","Pid","http://ecx.images-amazon.com/images/I/41Q6HK6KF3L._SX300_.jpg","Alternative Rock","1998"
"Cake","Friend Is A Four Letter Word","Pid","http://ecx.images-amazon.com/images/I/41WDRRN0Y9L._SX300_.jpg","Alternative Rock","1998"
"Everclear","Everything to Everyone, Pt. 1","Pid","http://ecx.images-amazon.com/images/I/41DHWVTNGSL._SX300_.jpg","Alternative Rock","1997"
"Chumbawamba","Top of the World","Pid","http://ecx.images-amazon.com/images/I/51GZF825K7L.jpg","Alternative Rock","1998"
"Frank Black","All My Ghosts","Pid","http://ecx.images-amazon.com/images/I/4137H1C21VL._SX300_.jpg","Alternative Rock","1998"
"Space","Tin Planet","Pid","http://ecx.images-amazon.com/images/I/41WARWQC7WL._SX300_.jpg","Alternative Rock","1998"
"Seven Year Bitch","Viva Zapata!","C/Z","http://ecx.images-amazon.com/images/I/41RPM198NFL.jpg","Alternative Rock","1994"
"James","Waltzing Along","fontana","http://ecx.images-amazon.com/images/I/51VCyoLN69L._SY300_.jpg","Alternative Rock","1997"
"The Hal Al Shedad","Textures of Tomorrow","Troubleman Unlimited/Ada","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","2004"
"Carter the Unstoppable Sex Machine","Worry Bomb","Chrysalis","http://ecx.images-amazon.com/images/I/41CY19TXq1L._SX300_.jpg","Alternative Rock","1995"
"Eels","Susan's House ","Uni","http://ecx.images-amazon.com/images/I/21ASC0ZRA4L.jpg","Alternative Rock","1997"
"Suede","Drowners","Sony","http://ecx.images-amazon.com/images/I/21K1HNNGD5L.jpg","Alternative Rock","1992"
"Marcy Playground","Sex & Candy ","Pid","http://ecx.images-amazon.com/images/I/416TDYDXS8L._SX300_.jpg","Alternative Rock","1998"
"Clair Obscure","Collection of Isolated Tracks 1982-1988","Bmg","http://ecx.images-amazon.com/images/I/31tU4Z9be7L._SL500_.jpg","Alternative Rock","2007"
"Louis Philippe","Delta Kiss","Polys","http://ecx.images-amazon.com/images/I/41nYM0DLX0L._SX300_.jpg","Alternative Rock","1993"
"Death in June","93 Dead Sunwheels","New European Recordings","http://ecx.images-amazon.com/images/I/21YT0V5587L.jpg","Alternative Rock","1989"
"Cockney Rejects","Wild Ones/Lethal","Cas","http://ecx.images-amazon.com/images/I/21NZ7BMFJTL.jpg","Alternative Rock","1996"
"Cocteau Twins","Blue Bell Knoll","4ad","http://ecx.images-amazon.com/images/I/51s3z5veHnL._SY300_.jpg","Alternative Rock","1988"
"Death in June","Something is Coming","New European Recordings","http://ecx.images-amazon.com/images/I/412D9V48K7L.jpg","Alternative Rock","1993"
"Delicatessen","Skin Touching Water","Pinn","http://ecx.images-amazon.com/images/I/51Tn6mU5E4L._SY300_.jpg","Alternative Rock","2015"
"Damned","Not of This Earth","Teichiku","http://ecx.images-amazon.com/images/I/21N6QHGP9PL.jpg","Alternative Rock","1995"
"Gene","Fighting Fit","Polydor","http://ecx.images-amazon.com/images/I/21AT7RAXBNL.jpg","Alternative Rock","1996"
"Elijah's Mantle","Angels of Perversity","World","http://ecx.images-amazon.com/images/I/41JWXWRWXPL.jpg","Alternative Rock","1993"
"Fields Of The Nephilim","Earth Inferno","Beggars Banquet","http://ecx.images-amazon.com/images/I/51Nc8dnpZdL._SX300_.jpg","Alternative Rock","1991"
"Belly","Seal My Fate","4AD","http://ecx.images-amazon.com/images/I/21DFAMBR2ML.jpg","Alternative Rock","1995"
"Belly","Seal My Fate: Live","4ad","http://ecx.images-amazon.com/images/I/51uU4zHe0VL._SL500_SX300_.jpg","Alternative Rock","1995"
"Danielle Dax","Jesus Egg That Wept","World Serpent","http://ecx.images-amazon.com/images/I/41T1FWB70PL.jpg","Alternative Rock","1984"
"Die Krupps","Paradise Now","Mfn","http://ecx.images-amazon.com/images/I/2138KBX4JBL.jpg","Alternative Rock","1997"
"Beck","Pay No Mind ","Universal","http://ecx.images-amazon.com/images/I/41Rn89qpHIL._SX300_.jpg","Alternative Rock","1994"
"Bevis Frond","Auntie Winnie Album","Sain","http://ecx.images-amazon.com/images/I/41A0NSHWHVL.jpg","Alternative Rock","1988"
"Lilac Time","Astronauts","Creation Records","http://ecx.images-amazon.com/images/I/1129MFAZ5YL.jpg","Alternative Rock","1991"
"Lush","Ladykillers Pt.1","4ad","http://ecx.images-amazon.com/images/I/41J9EZ9XSSL.jpg","Alternative Rock","1996"
"The Juliana Hatfield Three","For The Birds","Atlantic / Mammoth","http://ecx.images-amazon.com/images/I/41kMKXpKwTL._SX300_.jpg","Alternative Rock","1993"
"Takako Minekawa","Chat Chat","Witz","http://ecx.images-amazon.com/images/I/21W3CKMMN4L.jpg","Alternative Rock","1995"
"R.E.M.","The Automatic Box","Warner Brothers Music","http://ecx.images-amazon.com/images/I/51iIjezbReL._SX300_.jpg","Alternative Rock","1993"
"Nurse with Wound","Rock N Roll Station","World","http://ecx.images-amazon.com/images/I/21VWW752ETL.jpg","Alternative Rock","1994"
"Sleeping Dogs Wake","Under the Stars","Dmd","http://ecx.images-amazon.com/images/I/51sdwDybkaL._SY300_.jpg","Alternative Rock","1995"
"Smashing Pumpkins","Peel Sessions","Hut","http://ecx.images-amazon.com/images/I/213201S328L.jpg","Alternative Rock","1992"
"Strange Advance","Worlds Away & Back","ISOTOPE MUSIC INC.","http://ecx.images-amazon.com/images/I/51WNW8TEHEL._SY300_.jpg","Alternative Rock","1995"
"Front 242","Headhunter","Msi","http://ecx.images-amazon.com/images/I/51KMRQGRObL._SY300_.jpg","Alternative Rock","1998"
"Various Artists","Spacewalk: A salute to Ace Frehley and Kiss","Cargo","http://ecx.images-amazon.com/images/I/61qCzZXszuL._SX300_.jpg","Alternative Rock","1996"
"Carol Wirth","So & Slow It Grows","Emi","http://ecx.images-amazon.com/images/I/41XPQ2JJVEL.jpg","Alternative Rock","1991"
"Transvision Vamp","Little Magnets Versus the Bubble of Babb","Mca","http://ecx.images-amazon.com/images/I/413YS15T2JL.jpg","Alternative Rock","1991"
"Smashing Pumpkins","1979","Emi","http://ecx.images-amazon.com/images/I/51tJTUVoi4L._SX300_.jpg","Alternative Rock","1996"
"Microdisney","Clock Comes Down the Stairs","Creat","http://ecx.images-amazon.com/images/I/51J158G7XRL.jpg","Alternative Rock","1985"
"Icehouse","Masterfile ","For L","http://ecx.images-amazon.com/images/I/21SFCFMEFYL.jpg","Alternative Rock","1992"
"Stray Cats","Lets Go Faster","Emi","http://ecx.images-amazon.com/images/I/418KBZ7QTEL.jpg","Alternative Rock","1990"
"Warlord","Best of Warlord","Restless","http://ecx.images-amazon.com/images/I/51kDTaGPJfL._SX300_.jpg","Alternative Rock","1989"
"Front 242","Tragedy for You Two","Msi","http://ecx.images-amazon.com/images/I/411EE08JW%2BL._SY300_.jpg","Alternative Rock","1990"
"Legendary Pink Dots","Legendary Pink Box","Msi","http://ecx.images-amazon.com/images/I/31HuhdIRk-L._SL500_.jpg","Alternative Rock","1991"
"Legendary Pink Dots","Lovers","Msi","http://ecx.images-amazon.com/images/I/21JV8209ATL.jpg","Alternative Rock","1984"
"Sonic Youth","Sunday","Geffen","http://ecx.images-amazon.com/images/I/31KBVX4PYYL._SX300_.jpg","Alternative Rock","1998"
"Legendary Pink Dots","Asylum","Msi","http://ecx.images-amazon.com/images/I/51062ZZ61FL.jpg","Alternative Rock","1985"
"Moose","Honey Bee","Pias","http://ecx.images-amazon.com/images/I/61vYabYSufL._SY300_.jpg","Alternative Rock","1994"
"Suede","Saturday Night","Pid","http://ecx.images-amazon.com/images/I/51V17%2B2tTdL._SL500_SX300_.jpg","Alternative Rock","1996"
"Legendary Pink Dots","Any Day Now","Play It Again Sam","http://ecx.images-amazon.com/images/I/21ZAN8FZH3L.jpg","Alternative Rock","1988"
"Moose","Live a Little Love a Lot","Msi","http://ecx.images-amazon.com/images/I/21YSNHZQC8L.jpg","Alternative Rock","1995"
"Tarnation","Gentle Creatures","Cas","http://ecx.images-amazon.com/images/I/51zLcTjxu%2BL._SX300_.jpg","Alternative Rock","1995"
"Hoodoo Gurus","Gorilla Biscuit","Bmg","http://ecx.images-amazon.com/images/I/3165MQ4HWSL.jpg","Alternative Rock","1992"
"Joy Division","Heart and Soul","London","http://ecx.images-amazon.com/images/I/31ZRKQPYX6L.jpg","Alternative Rock","1997"
"Luna","Hedgehog//23 Minutes in Brussels","Beggar's Banquet","http://ecx.images-amazon.com/images/I/414ZB27PD9L.jpg","Alternative Rock","1995"
"Antioch Arrow","Gems of Masochism","Amalg","http://ecx.images-amazon.com/images/I/31PfEBEyDkL._SL500_.jpg","Alternative Rock","2005"
"Tim Booth","I Believe","Fontana","http://ecx.images-amazon.com/images/I/51HZcE1UDqL._SX300_.jpg","Alternative Rock","1996"
"Green Day","Time of Your Life ","Reprise","http://ecx.images-amazon.com/images/I/418E41ZYS1L.jpg","Alternative Rock","1998"
"Dave-iD Busaras","Smegma Structions Don't Rhyme","Rough Trade","http://ecx.images-amazon.com/images/I/51O0JDsD6iL._SL500_SY300_.jpg","Alternative Rock","1995"
"Adicts","Sound of Music","Gr.Ex","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1982"
"The Chocolate Watchband","Hung Gifted & Slack","Out of Step","http://ecx.images-amazon.com/images/I/41FYKTHQWRL.jpg","Alternative Rock","1995"
"Edward Ball","Love Is Blue","Creat","http://ecx.images-amazon.com/images/I/41A2YPFNRJL.jpg","Alternative Rock","1997"
"Casino","Casino","SI Music","http://ecx.images-amazon.com/images/I/41M2SZVHSCL.jpg","Alternative Rock","1992"
"Aurora Project","Balance of Risk","Centaur","http://ecx.images-amazon.com/images/I/61fW2QpLcuL._SX300_.jpg","Alternative Rock","1995"
"The Divine Comedy","Something For The Weekend","Setanta","http://ecx.images-amazon.com/images/I/51HMhXqbHiL._SX300_.jpg","Alternative Rock","1996"
"Calva Y Nada","Die Katze Im Sack","Hyper","http://ecx.images-amazon.com/images/I/41PYENnDHbL._SY300_.jpg","Alternative Rock","1994"
"Jocasta","No Coincidence","Sony","http://ecx.images-amazon.com/images/I/41BMSWaAHrL._SX300_.jpg","Alternative Rock","1997"
"The La's","La's","Polygram","http://ecx.images-amazon.com/images/I/41AZ0G6DPGL.jpg","Alternative Rock","1990"
"La Costa Rasa","Autopilot","Merciful Release","http://ecx.images-amazon.com/images/I/61i468ErSVL._SY300_.jpg","Alternative Rock","1994"
"Lemon Kittens","We Buy a Hammer for Daddy","Biter Of Thorpe","http://ecx.images-amazon.com/images/I/41KmXBKmiJL._SX300_.jpg","Alternative Rock","1980"
"Deutsch Nepal","A Night in Fear","Arthur's Round Table","http://ecx.images-amazon.com/images/I/3124SYED81L.jpg","Alternative Rock","1996"
"Luna","Season of the Witch","Bb","http://ecx.images-amazon.com/images/I/21SDPB04HTL.jpg","Alternative Rock","1996"
"Sidi Bou Said","Broooch","Ultimate","http://ecx.images-amazon.com/images/I/41S0X8JEZZL.jpg","Alternative Rock","1993"
"Thurman","Lux","Righteous Records","http://ecx.images-amazon.com/images/I/417R164LEoL._SL500_SX300_.jpg","Alternative Rock","1995"
"Secret Goldfish","Aqua-Pet","Cr.Be","http://ecx.images-amazon.com/images/I/311wDFTlJtL._SX300_.jpg","Alternative Rock","1996"
"Topper","Something to Tell Her","Ankst","http://ecx.images-amazon.com/images/I/21CZJTA6J9L.jpg","Alternative Rock","1997"
"U.K. Subs","Crash Course","Dojo","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1980"
"Various Artists","Elephant Table Album","Xtract","http://ecx.images-amazon.com/images/I/41EBYCG6GYL.jpg","Alternative Rock","1983"
"Wood Children","Shopaholic","Demon","http://ecx.images-amazon.com/images/I/21QD9SF5YWL.jpg","Alternative Rock","2011"
"Stereophonics","Local Boy in the Photograph Pt.1","V2","http://ecx.images-amazon.com/images/I/51W5QVMHZAL.jpg","Alternative Rock","1998"
"Closterkeller","Scarlet","Universal/Polygram","http://ecx.images-amazon.com/images/I/5190DGWPbeL._SY300_.jpg","Alternative Rock","1995"
